Company,Mission,Vision,MV
Nationwide Mutual Insurance Co.,"We exist solely for the benefit of our members . We help them and their families meet their financial needs in a sustainable, responsible and secure way - as we have done since 1846, in a manner that is open, honest, and fair.",Our vision is to be the trusted advocate for U.S. consumers and businesses by protecting what matters most and building a secure financial future. ,"We exist solely for the benefit of our members . We help them and their families meet their financial needs in a sustainable, responsible and secure way - as we have done since 1846, in a manner that is open, honest, and fair. Our vision is to be the trusted advocate for U.S. consumers and businesses by protecting what matters most and building a secure financial future. "
Navistar International Corporation,"We're always driven to exceed industry standards, especially when it comes to protecting our environment. As one of the first global manufacturers, Navistar has never stopped investing in growth around the world - from expansion in China to engine, trucking and bus operations in South America.","It takes more than just a mission to succeed. It takes perseverance. It takes courage. And it takes drive. At Navistar we believe the world is propelled forward by new ideas, brave inventors and bold thinkers. That's why we're committed to giving our customers our best every day. We find new ways to help America's workers go that extra mile. We pioneer technologies that burn cleaner fuel. And we use the latest innovations to protect our troops, so they ride more safely into conflict - and back home. Pushing our industry forward is more than just our passion. It's our drive to deliver.","We're always driven to exceed industry standards, especially when it comes to protecting our environment. As one of the first global manufacturers, Navistar has never stopped investing in growth around the world - from expansion in China to engine, trucking and bus operations in South America. It takes more than just a mission to succeed. It takes perseverance. It takes courage. And it takes drive. At Navistar we believe the world is propelled forward by new ideas, brave inventors and bold thinkers. That's why we're committed to giving our customers our best every day. We find new ways to help America's workers go that extra mile. We pioneer technologies that burn cleaner fuel. And we use the latest innovations to protect our troops, so they ride more safely into conflict - and back home. Pushing our industry forward is more than just our passion. It's our drive to deliver."
"NBTY, Inc.","To enhance the well-being of our customers globally by delivering the highest quality, best value nutritional supplements and wellness products.",,"To enhance the well-being of our customers globally by delivering the highest quality, best value nutritional supplements and wellness products. "
NCR Corporation,"We are the new NCR: Leading how the world connects, interacts and transacts with business. Our people offer a broad perspective that enables our customers to reach their goals and transform their business models.Our size, scale and stability instil confidence in the marketplace.",We provide our customers with the next generation of productivity gains and customer experience.,"We are the new NCR: Leading how the world connects, interacts and transacts with business. Our people offer a broad perspective that enables our customers to reach their goals and transform their business models.Our size, scale and stability instil confidence in the marketplace. We provide our customers with the next generation of productivity gains and customer experience."
"Neiman Marcus, Inc.","To excel in each aspect of our business - merchandise, customer service and marketing. We strive to be the best luxury and fashion retailer. We will continue to innovate, adapt and engage our customers so that they can shop with us anytime, anywhere .",,"To excel in each aspect of our business - merchandise, customer service and marketing. We strive to be the best luxury and fashion retailer. We will continue to innovate, adapt and engage our customers so that they can shop with us anytime, anywhere . "
"NetApp, Inc.","Attracting and retaining performance-oriented employees, who thrive by taking on challenging work in a supportive environment and who are recognized and rewarded for their achievements and contributions Driving customers’ success and earning their loyalty through products, services, and relationships that deliver new capabilities and unparalleled value Building and nourishing partnerships to develop and deliver innovative, superior solutions for customers Providing shareholders with exceptional value through predictable performance and significant growth in revenues and profits Fostering positive relationships in the communities in which we work and with our global neighbors",To be a model company. We believe that being a model company means winning in the marketplace with integrity and honor.,"Attracting and retaining performance-oriented employees, who thrive by taking on challenging work in a supportive environment and who are recognized and rewarded for their achievements and contributions Driving customers’ success and earning their loyalty through products, services, and relationships that deliver new capabilities and unparalleled value Building and nourishing partnerships to develop and deliver innovative, superior solutions for customers Providing shareholders with exceptional value through predictable performance and significant growth in revenues and profits Fostering positive relationships in the communities in which we work and with our global neighbors To be a model company. We believe that being a model company means winning in the marketplace with integrity and honor."
"Netflix, Inc.","Becoming the best global entertainment distribution service, Licensing entertainment content around the world, Creating markets that are accessible to film makers, Helping content creators around the world to find a global audience.","our streaming subscription business domestically and globally. We are continuously improving the customer experience, with a focus on expanding our streaming content, enhancing our user interface and extending our streaming service to even more Internet-connected devices, while staying within the parameters of our consolidated net income and operating segment contribution profit targets.","Becoming the best global entertainment distribution service, Licensing entertainment content around the world, Creating markets that are accessible to film makers, Helping content creators around the world to find a global audience. our streaming subscription business domestically and globally. We are continuously improving the customer experience, with a focus on expanding our streaming content, enhancing our user interface and extending our streaming service to even more Internet-connected devices, while staying within the parameters of our consolidated net income and operating segment contribution profit targets."
New Jersey Resources Corporation,"Providing safe, reliable, clean and affordable energy services. And, meeting our customers expectations is something we never stop working to achieve. ","Employees, retirees and their families contributed over 5, hours of volunteer service to help support the important work of nonprofit organizations in our service territory.","Providing safe, reliable, clean and affordable energy services. And, meeting our customers expectations is something we never stop working to achieve.  Employees, retirees and their families contributed over 5, hours of volunteer service to help support the important work of nonprofit organizations in our service territory."
"New York Community Bancorp, Inc.",,, 
New York Life Insurance Company,"To provide financial security and peace of mind through our insurance, annuity and investment products and services.","To be there when people need us most. We’re built to not only be there for policyholders, but for their children and generations to come. That’s why the decisions we make are not for short-term gains, but for long-term performance. And it’s why we make the time and investments necessary for our Agents and employees to be the best professionals in our industry. Our policyholders deserve our very best. We’re up to the challenge.","To provide financial security and peace of mind through our insurance, annuity and investment products and services. To be there when people need us most. We’re built to not only be there for policyholders, but for their children and generations to come. That’s why the decisions we make are not for short-term gains, but for long-term performance. And it’s why we make the time and investments necessary for our Agents and employees to be the best professionals in our industry. Our policyholders deserve our very best. We’re up to the challenge."
Newell Rubbermaid Inc.,," To be a global company of Brands That Matter and great people, known for best-in-class results.","  To be a global company of Brands That Matter and great people, known for best-in-class results."
Newfield Exploration Company,"People, passion and pride combine to power our future. With an entrepreneurial spirit, we work hard every day to find and produce oil, natural gas and related products safely, responsibly and profitably for the benefit of our stakeholders.","To be recognized as the premier independent E&P company, delivering operational excellence, top tier business results and value to our shareholders, employees and the communities in which we live and work.","People, passion and pride combine to power our future. With an entrepreneurial spirit, we work hard every day to find and produce oil, natural gas and related products safely, responsibly and profitably for the benefit of our stakeholders. To be recognized as the premier independent E&P company, delivering operational excellence, top tier business results and value to our shareholders, employees and the communities in which we live and work."
NewMarket Corporation,,, 
Newmont Mining Corporation,"We will build a sustainable mining business that delivers top quartile shareholder returns while leading in safety, environmental stewardship and social responsibility.",To be the most valued and respected mining company through industry leading performance.,"We will build a sustainable mining business that delivers top quartile shareholder returns while leading in safety, environmental stewardship and social responsibility. To be the most valued and respected mining company through industry leading performance."
News Corporation,"Creating and distributing top-quality news, sports and entertainment around the world.",Delivering extraordinary experiences for our customers and consumers is at the heart of who we are.,"Creating and distributing top-quality news, sports and entertainment around the world. Delivering extraordinary experiences for our customers and consumers is at the heart of who we are."
"Nexeo Solutions Holdings, LLC",,, 
"NextEra Energy, Inc.","NextEra Energy is focused on building long-term value for our shareholders by investing in energy technologies that are designed to provide affordable, clean and reliable power for our customers.",1. Largest clean energy provider in the U.S. 2. FPL: the best utility in the U.S. 2.1. Customer value 2.2. Operations 2.3. Regulatory environment 3. Energy Resources: highly profitable competitive energy supplier. ,"NextEra Energy is focused on building long-term value for our shareholders by investing in energy technologies that are designed to provide affordable, clean and reliable power for our customers. 1. Largest clean energy provider in the U.S. 2. FPL: the best utility in the U.S. 2.1. Customer value 2.2. Operations 2.3. Regulatory environment 3. Energy Resources: highly profitable competitive energy supplier. "
"NII Holdings, Inc.",,, 
"Nike, Inc.",To bring inspiration and innovation to every athlete in the world.,"To help NIKE, Inc. and its consumers thrive in a sustainable economy where people, profit and planet are in balance.","To bring inspiration and innovation to every athlete in the world. To help NIKE, Inc. and its consumers thrive in a sustainable economy where people, profit and planet are in balance."
NiSource Inc.,"To foster and advance an inclusive environment, creating a culture of acceptance and  accountability that recognizes, values and celebrates differences among our employees, customers and communities.",,"To foster and advance an inclusive environment, creating a culture of acceptance and  accountability that recognizes, values and celebrates differences among our employees, customers and communities. "
"Noble Energy, Inc.","Energizing the World, Bettering People's Lives. We strive to provide energy for the world through finding and producing hydrocarbons, while positively influencing the lives of our stakeholders. To us, the two responsibilities cannot exist separately. ",To be the world's energy partner of choice.,"Energizing the World, Bettering People's Lives. We strive to provide energy for the world through finding and producing hydrocarbons, while positively influencing the lives of our stakeholders. To us, the two responsibilities cannot exist separately.  To be the world's energy partner of choice."
"Nordstrom, Inc.",We value the richness that diversity brings to our workforce - it makes our Company better and the communities we serve stronger.,,We value the richness that diversity brings to our workforce - it makes our Company better and the communities we serve stronger. 
Norfolk Southern Corporation,"To enhance the value of our stockholders' investment over time by providing quality freight transportation services and undertaking any other related businesses in which our resources, particularly our people, give the company an advantage.",,"To enhance the value of our stockholders' investment over time by providing quality freight transportation services and undertaking any other related businesses in which our resources, particularly our people, give the company an advantage. "
"Nortek, Inc.",,, 
Northeast Utilities,"1. One company, focused on delivering reliable energy and superior customer service.To be the region's most respected energy provider."," To become the highest performing regional provider of energy products and services, strengthening our region’s security, stability and vitality.","1. One company, focused on delivering reliable energy and superior customer service.To be the region's most respected energy provider.  To become the highest performing regional provider of energy products and services, strengthening our region’s security, stability and vitality."
Northern Tier Energy LP,,, 
Northern Trust Corporation,"To be a global leader in delivering innovative investment management, asset and fund administration, fiduciary and banking solutions to corporations, institutions and affluent individuals.",,"To be a global leader in delivering innovative investment management, asset and fund administration, fiduciary and banking solutions to corporations, institutions and affluent individuals. "
Northrop Grumman Corporation,"Our vision is to be the most trusted provider of systems and technologies that ensure the security and freedom of our nation and its allies. As the technology leader, we will define the future of defensefrom undersea to outer space, and in cyberspace. We will — 1. Conduct ourselves with integrity and live our Company Values 2. Deliver superior program performance 3. Foster an internal environment of innovation, collaboration, and trust.",To be the most trusted provider of systems and technologies that ensure the security and freedom of our nation and its allies. ,"Our vision is to be the most trusted provider of systems and technologies that ensure the security and freedom of our nation and its allies. As the technology leader, we will define the future of defensefrom undersea to outer space, and in cyberspace. We will — 1. Conduct ourselves with integrity and live our Company Values 2. Deliver superior program performance 3. Foster an internal environment of innovation, collaboration, and trust. To be the most trusted provider of systems and technologies that ensure the security and freedom of our nation and its allies. "
"Northwestern Mutual Life Insurance Company,Inc.",To attract and develop highly motivated individuals committed to building a financial services practice as well as to provide representatives with a network of services and specialists to assist their clients in achieving their financial goals.,"We aim to be the pre-eminent financial security firm by consistently focusing on one ambition: to have a meaningful impact on our financial representatives and staff, our clients, and our communities that will create a legacy for future generations.","To attract and develop highly motivated individuals committed to building a financial services practice as well as to provide representatives with a network of services and specialists to assist their clients in achieving their financial goals. We aim to be the pre-eminent financial security firm by consistently focusing on one ambition: to have a meaningful impact on our financial representatives and staff, our clients, and our communities that will create a legacy for future generations."
"NRG Energy, Inc.",We provide reliable wholesale electricity safely and in a manner consistent with our civic and environmental commitment to the communities we serve.,"We strive to be a regionally focused, multi-fuel, carbon-diversified scale generator with assets across the merit order, and around transmission in each of our core markets, with the capability to procure, transport and trade all of the commodities involved in our business.","We provide reliable wholesale electricity safely and in a manner consistent with our civic and environmental commitment to the communities we serve. We strive to be a regionally focused, multi-fuel, carbon-diversified scale generator with assets across the merit order, and around transmission in each of our core markets, with the capability to procure, transport and trade all of the commodities involved in our business."
"Nu Skin Enterprises, Inc.","Our mission is to be a force for good throughout the world by empowering people to improve lives with rewarding business opportunities, innovative products, and an enriching, uplifting culture.",To become the world's leading direct selling company by generating more income for distributors than any other company.,"Our mission is to be a force for good throughout the world by empowering people to improve lives with rewarding business opportunities, innovative products, and an enriching, uplifting culture. To become the world's leading direct selling company by generating more income for distributors than any other company."
Nucor Corporation,"Nucor Corporation is made up of more than 21,000 teammates whose goal is to take care of our customers. We are accomplishing this by being the safest, highest quality, lowest cost, most productive, and most profitable steel and steel products company in teh world. We are committed to doing this while being cultural and environmental stewards in our communities where we live and work. We are succeeding by working together.",,"Nucor Corporation is made up of more than 21,000 teammates whose goal is to take care of our customers. We are accomplishing this by being the safest, highest quality, lowest cost, most productive, and most profitable steel and steel products company in teh world. We are committed to doing this while being cultural and environmental stewards in our communities where we live and work. We are succeeding by working together. "
NuStar Energy L.P.,,, 
"NV Energy, Inc.","To provide energy, products and services that enable our customers to manage their energy needs while delivering industry-leading returns to our investors.","Our vision is for NV Energy to be the best energy company in serving our customers,  while delivering sustainable energy solutions.","To provide energy, products and services that enable our customers to manage their energy needs while delivering industry-leading returns to our investors. Our vision is for NV Energy to be the best energy company in serving our customers,  while delivering sustainable energy solutions."
NVIDIA Corporation,A lasting and positive impact in the lives of people in our community.,,A lasting and positive impact in the lives of people in our community. 
"NVR, Inc.","To provides various support functions for each of its sub-entities. These include essential managerial structures, vital human resource specialists, and an advanced information technology department, which all intertwine to provide a network of resources utilized by NVR, inc. holdings. ",,"To provides various support functions for each of its sub-entities. These include essential managerial structures, vital human resource specialists, and an advanced information technology department, which all intertwine to provide a network of resources utilized by NVR, inc. holdings.  "
NYSE Euronext,"To promote NYSE Euronext and its products and services with professional investors. Our aim is to develop and maintain contacts with them, offering seamless access to relevant information and getting market feedback.","To create a completely unique environment that enables global trading for customers of all sizes and sophistications, trading anywhere in the world.","To promote NYSE Euronext and its products and services with professional investors. Our aim is to develop and maintain contacts with them, offering seamless access to relevant information and getting market feedback. To create a completely unique environment that enables global trading for customers of all sizes and sophistications, trading anywhere in the world."
Occidental Petroleum Corporation,,"To provide operational excellence through -> 1. Reliable, competitively priced supply options. 2. Efficient transaction administration from scheduling through billing. 3. Responsiveness to customers' needs."," To provide operational excellence through -> 1. Reliable, competitively priced supply options. 2. Efficient transaction administration from scheduling through billing. 3. Responsiveness to customers' needs."
"Oceaneering International, Inc.","To increase the net wealth of its shareholders by providing safe, cost-effective, and quality technical solutions satisfying customer needs worldwide.",,"To increase the net wealth of its shareholders by providing safe, cost-effective, and quality technical solutions satisfying customer needs worldwide. "
"Office Depot, Inc.","DeliveringOur actions speak louder than words. We are accountable: doing what we say we're going to do efficiently and on time.   Winning-> We act with confidence. We're proud to win. We push ourselves to greater heights. And we don't settle for less than being the best.   Solutions->We listen to our customers and understand their needs. We offer products, services and innovative thinking that enable our customers to achieve success.   Inspire->Our inspiration is contagious and enables us to unleash creativity to help people achieve their goals. Our motivation and enthusiasm inspire others to succeed.   Worklife->We combine our energy for work with our passion for life. We are creating a fuller, more enriched lifestyle. We share the desire to maximize human potential to achieve personal dreams."," Delivering Winning Solutions That Inspire Worklife: DeliveringOur actions speak louder than words. We are accountable: doing what we say we're going to do ? efficiently and on time; Winning-We act with confidence. We're proud to win. We push ourselves to greater heights. And we don't settle for less than being the best; Solutions-We listen to our customers and understand their needs. We offer products, services and innovative thinking that enable our customers to achieve success; Inspire-Our inspiration is contagious and enables us to unleash creativity to help people achieve their goals. Our motivation and enthusiasm inspire others to succeed; Worklife™-We combine our energy for work with our passion for life . creating a fuller, more enriched lifestyle. We share the desire to maximize human potential to achieve personal dreams.","DeliveringOur actions speak louder than words. We are accountable: doing what we say we're going to do efficiently and on time.   Winning-> We act with confidence. We're proud to win. We push ourselves to greater heights. And we don't settle for less than being the best.   Solutions->We listen to our customers and understand their needs. We offer products, services and innovative thinking that enable our customers to achieve success.   Inspire->Our inspiration is contagious and enables us to unleash creativity to help people achieve their goals. Our motivation and enthusiasm inspire others to succeed.   Worklife->We combine our energy for work with our passion for life. We are creating a fuller, more enriched lifestyle. We share the desire to maximize human potential to achieve personal dreams.  Delivering Winning Solutions That Inspire Worklife: DeliveringOur actions speak louder than words. We are accountable: doing what we say we're going to do ? efficiently and on time; Winning-We act with confidence. We're proud to win. We push ourselves to greater heights. And we don't settle for less than being the best; Solutions-We listen to our customers and understand their needs. We offer products, services and innovative thinking that enable our customers to achieve success; Inspire-Our inspiration is contagious and enables us to unleash creativity to help people achieve their goals. Our motivation and enthusiasm inspire others to succeed; Worklife™-We combine our energy for work with our passion for life . creating a fuller, more enriched lifestyle. We share the desire to maximize human potential to achieve personal dreams."
OfficeMax Incorporated,We provide workplace innovation that enables our customers to work better.,To become the leading super discount office supply retail store offering a variety of core office supply products and services by featuring more innovative store-within-store formats to better serve the customers across the nation and now the world.,We provide workplace innovation that enables our customers to work better. To become the leading super discount office supply retail store offering a variety of core office supply products and services by featuring more innovative store-within-store formats to better serve the customers across the nation and now the world.
OGE Energy Corp.,Safely provide reliable electricity and related services vital to our communities at a reasonable cost.,"The industry leader with a passion for helping customers, developing members and delivering stockholder value.","Safely provide reliable electricity and related services vital to our communities at a reasonable cost. The industry leader with a passion for helping customers, developing members and delivering stockholder value."
"Oil States International, Inc.",,, 
"Old Dominion Freight Line, Inc.","To provide innovative solutions designed to exceed customer expectations, increase shareholder value, and ensure the continued success of the OD company and our family of employees.",To be the premier transportation solutions company in domestic and global markets served.,"To provide innovative solutions designed to exceed customer expectations, increase shareholder value, and ensure the continued success of the OD company and our family of employees. To be the premier transportation solutions company in domestic and global markets served."
Old Republic International Corporation,"To provide quality insurance security and related services to businesses, individual and public institution and be a dependaple long termsteward of the trust our policy holders and shareholders place in US.",,"To provide quality insurance security and related services to businesses, individual and public institution and be a dependaple long termsteward of the trust our policy holders and shareholders place in US. "
Olin Corporation,,, 
"Omnicare, Inc.",Our business is pharmaceutical care in positive outcomes.,"To reach the pinnacle of success and scale new heights in quality and commitment with simple,straightforward virtues like hard work, sincerity and honesty.","Our business is pharmaceutical care in positive outcomes. To reach the pinnacle of success and scale new heights in quality and commitment with simple,straightforward virtues like hard work, sincerity and honesty."
Omnicom Group Inc.,,, 
ON Semiconductor Corporation,To provide the highest value relationships to our suppliers worldwide.,1. Understand our customers' needs and satisfy them. 2. Work as a team to build lasting customer relationships by understanding their requirements and exceeding their expectations. 3. Hire good people and empower them. ,To provide the highest value relationships to our suppliers worldwide. 1. Understand our customers' needs and satisfy them. 2. Work as a team to build lasting customer relationships by understanding their requirements and exceeding their expectations. 3. Hire good people and empower them. 
"Oneok, Inc.","Focused. Responsible. We provide safe, reliable energy and energy-related services to our customers.",To build a diversified energy company that provides consistent growth and stable earnings.,"Focused. Responsible. We provide safe, reliable energy and energy-related services to our customers. To build a diversified energy company that provides consistent growth and stable earnings."
Oracle Corporation,Deliver the best information with the highest Quality of Service at the lowest cost.," To seek  being genuine intersections between  the needs of society and the goals of our  company, and make investments that  benefit both. Integral to this vision is a commitment to support communities around the world where Oracle  has employees. By combining our resources, strengths, and technology with those of our partners, we can make a visible difference.                                                                                                                                                                           ","Deliver the best information with the highest Quality of Service at the lowest cost.  To seek  being genuine intersections between  the needs of society and the goals of our  company, and make investments that  benefit both. Integral to this vision is a commitment to support communities around the world where Oracle  has employees. By combining our resources, strengths, and technology with those of our partners, we can make a visible difference.                                                                                                                                                                           "
"O'Reilly Automotive, Inc.","To be the dominant supplier of auto parts in our market areas by offering our retail customers, professional installers, and jobbers the best combination of price and quality provided with the highest possible service level.",O'Reilly will provide a benefit and compensation plan that will attract and keep the kind of people that will enable the company to reach its goals of growth and success.,"To be the dominant supplier of auto parts in our market areas by offering our retail customers, professional installers, and jobbers the best combination of price and quality provided with the highest possible service level. O'Reilly will provide a benefit and compensation plan that will attract and keep the kind of people that will enable the company to reach its goals of growth and success."
Oshkosh Corporation,"We partners with customers to deliver superior solutions that safely and efficiently move people and materials at work, around the globe and around the clock.",,"We partners with customers to deliver superior solutions that safely and efficiently move people and materials at work, around the globe and around the clock. "
"Owens & Minor, Inc."," Our mission is to create consistent value for our customers and supply chain partners that will maximize shareholder value and long-term earnings growth: we will do this by managing our business with integrity and the highest ethical standards, while acting in a socially responsible manner with particular emphasis on the well-being of our teammates and the communities we serve.",To be a world-class leader of supply chain management solutions to the selected segments of the healthcare industry we serve.," Our mission is to create consistent value for our customers and supply chain partners that will maximize shareholder value and long-term earnings growth: we will do this by managing our business with integrity and the highest ethical standards, while acting in a socially responsible manner with particular emphasis on the well-being of our teammates and the communities we serve. To be a world-class leader of supply chain management solutions to the selected segments of the healthcare industry we serve."
Owens Corning,"Owens Corning is a company with an unwavering commitment to delivering solutions, transforming markets and enhancing lives. It’s who we are. It’s why we are here. We do it by fully engaging our employees in support of growing our customer’s businesses. And when we do, we grow ours as well.","TheteamcreatingOwensCorning understood the market would belooking for innovative materials to substitute fortraditional materials–materials that would not only provide improved performance, but would also enable the development of new products and solutions. This was the vision.","Owens Corning is a company with an unwavering commitment to delivering solutions, transforming markets and enhancing lives. It’s who we are. It’s why we are here. We do it by fully engaging our employees in support of growing our customer’s businesses. And when we do, we grow ours as well. TheteamcreatingOwensCorning understood the market would belooking for innovative materials to substitute fortraditional materials–materials that would not only provide improved performance, but would also enable the development of new products and solutions. This was the vision."
"Owens-Illinois, Inc.","ur mission is to design, manufacture, and deliver products and services that meet the unique needs and expectations of each customer. To that end, we have successfully built a solid foundation and infrastructure for glass container manufacturing.","To become the world’s leading packaging company by achieving sustainable and consistent growth by providing consumer preferred products that enable superior taste, health, visual appeal and value benefits for our business customers’ products.","ur mission is to design, manufacture, and deliver products and services that meet the unique needs and expectations of each customer. To that end, we have successfully built a solid foundation and infrastructure for glass container manufacturing. To become the world’s leading packaging company by achieving sustainable and consistent growth by providing consumer preferred products that enable superior taste, health, visual appeal and value benefits for our business customers’ products."
PACCAR Inc,"PACCAR is a global technology leader in the design, manufacture and customer support of high-quality light-, medium and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates. It also provides financial services and information technology and distributes truck parts related to its principal business.","Our goal is to reach the state-of-art innovation, excellence and competitiveness through research and technological advancement. Our approach involves participation and collaboration in a continuum of multidisciplinary research projects, each contributing to our knowledge base and core competencies while leveraging the results and experiences gained in previous projects.","PACCAR is a global technology leader in the design, manufacture and customer support of high-quality light-, medium and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates. It also provides financial services and information technology and distributes truck parts related to its principal business. Our goal is to reach the state-of-art innovation, excellence and competitiveness through research and technological advancement. Our approach involves participation and collaboration in a continuum of multidisciplinary research projects, each contributing to our knowledge base and core competencies while leveraging the results and experiences gained in previous projects."
Pacific Life,We provide financial security through products and services that stand the test of time.,To be the company of choice for clients who seek asset protection and growth.,We provide financial security through products and services that stand the test of time. To be the company of choice for clients who seek asset protection and growth.
Packaging Corporation of America,,, 
Pall Corporation,,, 
Panera Bread Company,A loaf of bread in every arm.,To continue to be a leader in the fast-casual dining and quick service industry by putting an emphasis on employee development and providing our  community with healthy food choices while maximizing profits for their shareholders.,A loaf of bread in every arm. To continue to be a leader in the fast-casual dining and quick service industry by putting an emphasis on employee development and providing our  community with healthy food choices while maximizing profits for their shareholders.
Parker-Hannifin Corporation,"Parker Hannifin Corporation is the world's leading diversified manufacturer of motion and control technologies, providing systematic, precision-engineered solutions for a wide variety of commercial, mobile, industrial and aerospace markets.",,"Parker Hannifin Corporation is the world's leading diversified manufacturer of motion and control technologies, providing systematic, precision-engineered solutions for a wide variety of commercial, mobile, industrial and aerospace markets. "
Patriot Coal Corporation,"Committed to operational  and environmental excellence and customer satisfaction.   1. Make safety our highest priority and the cornerstone of the relationship with our employees. 2. Promote a high-performing organization by hiring and retaining the most qualified people and maximizing their opportunities through personal growth and development; 3. Engineer, build and manage our operations to enhance productivity and ensure a competitive cost structure; 4. Be a steward of the environment and a good neighbor in the communities where we operate; 5. Provide creative solutions for our customers through utilization of our diverse sourcing capabilities and innovative contracting techniques; 5. Conduct our business with trust, respect and integrity toward customers, suppliers, employees and regulatory agencies.",,"Committed to operational  and environmental excellence and customer satisfaction.   1. Make safety our highest priority and the cornerstone of the relationship with our employees. 2. Promote a high-performing organization by hiring and retaining the most qualified people and maximizing their opportunities through personal growth and development; 3. Engineer, build and manage our operations to enhance productivity and ensure a competitive cost structure; 4. Be a steward of the environment and a good neighbor in the communities where we operate; 5. Provide creative solutions for our customers through utilization of our diverse sourcing capabilities and innovative contracting techniques; 5. Conduct our business with trust, respect and integrity toward customers, suppliers, employees and regulatory agencies. "
"Patterson Companies, Inc.",,, 
"Patterson-UTI Energy, Inc.",,, 
"Paychex, Inc.",The Power of a Good Idea.,,The Power of a Good Idea. 
PBF Energy Inc.,,"PBF Energy strives to be a good neighbor in the communities where it operates, supporting schools,the arts, and social services while operating a safe and environmentally sound business. The company uses environmentally responsible technology and continuously seeks cleaner and smarter ways to fuel the world."," PBF Energy strives to be a good neighbor in the communities where it operates, supporting schools,the arts, and social services while operating a safe and environmentally sound business. The company uses environmentally responsible technology and continuously seeks cleaner and smarter ways to fuel the world."
"PC Connection, Inc.","To serve businesses with trusted guidance, exceptional service, and innovative products throughout the IT lifecycle. ",,"To serve businesses with trusted guidance, exceptional service, and innovative products throughout the IT lifecycle.  "
Peabody Energy Corporation,"Our mission is to create superior value for shareholders as the leading global supplier of coal, which enables economic prosperity and a better quality of life.",The company serves metallurgical and thermal coal customers in more than 25 countries on six continents. Peabody was named Energy Company of the Year at the 2014 Platts Global Energy Awards.,"Our mission is to create superior value for shareholders as the leading global supplier of coal, which enables economic prosperity and a better quality of life. The company serves metallurgical and thermal coal customers in more than 25 countries on six continents. Peabody was named Energy Company of the Year at the 2014 Platts Global Energy Awards."
Penn Mutual Life Insurance Co.,"To continue delivering the best advice, services, and solutions to our clients as we strive to become the highest standard of success in financial relationships.",,"To continue delivering the best advice, services, and solutions to our clients as we strive to become the highest standard of success in financial relationships. "
"Penn National Gaming, Inc.","To establish Penn National Gaming as a profitable and respected leader in the gaming and racing industries, and as a valued partner in our communities and a role model for ethical business standards.",,"To establish Penn National Gaming as a profitable and respected leader in the gaming and racing industries, and as a valued partner in our communities and a role model for ethical business standards. "
"Penske Automotive Group, Inc.","committed to providing the highest quality service to create lifetime guests. We believe that complete guest satisfaction in all areas of our operation  sales, service, parts, body shop, and administration – is the key to our success and future growth. Underlying this mission is the recognition that our team members are vital in achieving the Company's goals and enhancing our reputation as innovative leaders in the automotive industry. Our commitment to our guests and employees is matched by our respect for the communities we serve. To achieve our beliefs, we: 1. Conduct ourselves with the highest standards of professional ethics, honesty and integrity 2. Offer and deliver exceptional products and services at a reasonable price 3. Build, operate and maintain the finest automotive dealerships in the industry 4.Create and promote an environment of teamwork and mutual respect among our team members 5. Partner with our local communities to make a difference in society.","Our objective is to be the most profitable, growth-oriented automotive retailer in each of the markets in which we operate. To achieve this objective, we intend to expand our existing business platform and continue to grow our higher-margin businesses, expand through targeted acquisitions, implement “best practices” and emphasize customer service.","committed to providing the highest quality service to create lifetime guests. We believe that complete guest satisfaction in all areas of our operation  sales, service, parts, body shop, and administration – is the key to our success and future growth. Underlying this mission is the recognition that our team members are vital in achieving the Company's goals and enhancing our reputation as innovative leaders in the automotive industry. Our commitment to our guests and employees is matched by our respect for the communities we serve. To achieve our beliefs, we: 1. Conduct ourselves with the highest standards of professional ethics, honesty and integrity 2. Offer and deliver exceptional products and services at a reasonable price 3. Build, operate and maintain the finest automotive dealerships in the industry 4.Create and promote an environment of teamwork and mutual respect among our team members 5. Partner with our local communities to make a difference in society. Our objective is to be the most profitable, growth-oriented automotive retailer in each of the markets in which we operate. To achieve this objective, we intend to expand our existing business platform and continue to grow our higher-margin businesses, expand through targeted acquisitions, implement “best practices” and emphasize customer service."
